Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Denmark,Sweden,Sweden,Denmark lies southwest of Sweden and south of Norway91N 1293 and is bordered to the south by Germany,P47,Forwards
Brussels,Belgium,Belgium,Brussels French Bruxelles bʁysɛl32listen or bʁyksɛl32listen Dutch Brussel ˈbrʏsəl32listen officially the BrusselsCapital Region French Région de BruxellesCapitale91a93 Dutch Brussels Hoofdstedelijk Gewest91b93 is a region of Belgium comprising 19 municipalities including the City of Brussels which is the capital of Belgium,P131,Forwards
Songhor Lagoon,Ghana,Ghana,The Songor Lagoon is located at 05°45N 000°30E on the eastern coast of Ghana West Africa,P17,Forwards
United Nations Framework Convention on Climate Change,Kyoto Protocol,Kyoto Protocol,The Kyoto Protocol which was signed in 1997 and which entered into force in 2005 was the first implementation of measures under the UNFCCC until 31 December 2020,P361,Backwards
Succulent Karoo,Namibia,Namibia,The Succulent Karoo is a ecoregion defined by the World Wide Fund for Nature to include regions of desert in South Africa and Namibiaand a biodiversity hotspot,P17,Forwards
Flanders,Belgium,Belgium,Flanders despite not being the biggest part of Belgium by area is the area with the largest population 682 if Brussels is included,P131,Forwards
Ghana,Togo,Togo,It spans along the Gulf of Guinea and the Atlantic Ocean sharing borders with the Ivory Coast in the west Burkina Faso in the north Togo in the east the Gulf of Guinea and the Atlantic Ocean in the south,P530,Forwards
Angola,United Nations,United Nations,Angola is a member of the United Nations OPEC African Union the Community of Portuguese Language Countries and the Southern African Development Community,P463,Forwards
Sustainable Development Goal 17,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 17 SDG 17 or Global Goal 17 is about partnerships for the goals One of the 17 Sustainable Development Goals established by the United Nations in 2015 the official wording is Strengthen the means of implementation and revitalize the global partnership for sustainable development,P361,Forwards
Finland,Estonia,Estonia,It shares land borders with Sweden to the west Russia to the east Norway to the north and is defined by the Gulf of Bothnia to the west and the Gulf of Finland of the Baltic Sea across Estonia to the south,P530,Backwards
United Nations Capital Development Fund,New York City,New York City,Established by the General Assembly in 1966 and with headquarters in New York City UNCDF is an autonomous UN organization affiliated with UNDP,P131,Forwards
European Union,Finland,Finland,   160Finland,P463,Backwards
Uganda,Rwanda,Rwanda,It is bordered to the east by Kenya to the north by South Sudan to the west by the Democratic Republic of the Congo to the southwest by Rwanda and to the south by Tanzania,P47,Forwards
New South Wales,Sydney,Sydney,New South Wales state capital is Sydney which is also Australias most populous city,P131,Backwards
Charles Bonar Sirait,Indonesia,Indonesia,Charles Bonar Sirait born March 19 1971 at Jakarta is a professional public figure and famous television presenter in Indonesia,P27,Forwards
Kenya,Ethiopia,Ethiopia,Kenya is bordered by South Sudan to the northwest Ethiopia to the north Somalia to the east Uganda to the west Tanzania to the south and the Indian Ocean to the southeast,P47,Backwards
Moraine Lake,Alberta,Alberta,Moraine Lake is a glaciallyfed lake in Banff National Park 14 kilometres 87160mi outside the village of Lake Louise Alberta Canada,P131,Forwards
New Zealand,Niue,Niue,The Realm of New Zealand also includes Tokelau a dependent territory the Cook Islands and Niue selfgoverning states in free association with New Zealand and the Ross Dependency which is New Zealands territorial claim in Antarctica,P530,Backwards
Poland,UNESCO,UNESCO,The country has 16 UNESCO World Heritage Sites 15 of which are cultural,P463,Forwards
Denmark,European Union,EU,Denmark became a member of the European Economic Community now the EU in 1973 but negotiated certain optouts it retains its own currency the krone,P463,Forwards
Nepal,Bangladesh,Bangladesh,It is mainly situated in the Himalayas but also includes parts of the IndoGangetic Plain bordering Tibet of China to the north and India in the south east and west while it is narrowly separated from Bangladesh by the Siliguri Corridor and from Bhutan by the Indian state of Sikkim,P530,Forwards
44th G7 summit,Group of Seven,Group of Seven,In March 2014 the Group of Seven G7—comprising leaders of Canada France Germany Italy Japan the United Kingdom and the United States—declared that a meaningful discussion was currently not possible with Russia in the context of the G8,P527,Backwards
Transport,Road transport,road,Modes of transport include air land rail and road water cable pipeline and space,P279,Backwards
Activism,Civic engagement,civic engagement,Research has now begun to explore how contemporary activist groups use social media to facilitate civic engagement and collective action combining politics with technology,P361,Forwards
Incheon,South Korea,South Korea,Incheon Korean58160인천59 Hanja58160仁川 Korean pronunciation160intɕʰʌn McCuneReischauer romanization Inchŏn literally kind river formerly Chemulpo until the period after 1910 officially the Incheon Metropolitan City 인천광역시 is a city located in northwestern South Korea bordering Seoul and Gyeonggi to the east,P131,Forwards
CN Tower,Toronto,Toronto,The CN Tower French Tour CN is a 5533160mhigh 18153160ft concrete communications and observation tower located in the downtown core of Toronto Ontario Canada,P131,Forwards
Frimmersdorf Power Station,Germany,Germany,Frimmersdorf Power Station located in Grevenbroich is one of the largest lignitefired power stations in Germany,P17,Forwards
Uganda,Kenya,Kenya,It is bordered to the east by Kenya to the north by South Sudan to the west by the Democratic Republic of the Congo to the southwest by Rwanda and to the south by Tanzania,P47,Backwards
Storm,Thunderstorm,thunderstorm,It may be marked by significant disruptions to normal conditions such as strong wind tornadoes hail thunder and lightning a thunderstorm heavy precipitation snowstorm rainstorm heavy freezing rain ice storm strong winds tropical cyclone windstorm or wind transporting some substance through the atmosphere as in a dust storm blizzard sandstorm etc,P279,Backwards
China,Macau,Macau,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P150,Forwards
Assiniboine Community College,Canada,Canada,Assiniboine Community CollegeTypepublic community collegeEstablishedFebruary1601961593260160years ago160196102PresidentMark FrisonAdministrative staff500 full and parttimeStudents3200 fulltimeUndergraduatesavailablePostgraduatesnot availableOther students40 diploma and certificate programsLocation1430 Victoria Avenue East Brandon Manitoba Canada R7A 2A9Campusurbansuburbanrural Brandon Winnipeg Dauphin and RussellSports teamsACC CougarsColourspurple mwparseroutput legendpagebreakinsideavoidbreakinsideavoidcolumnmwparseroutput legendcolordisplayinlineblockminwidth125emheight125emlineheight125margin1px 0textaligncenterborder1px solid blackbackgroundcolortransparentcolorblackmwparseroutput legendtext160 amp Red 160AffiliationsCICan CCAA CBIE Campus ManitobaMascotCaccey the CougarWebsitewwwassiniboinenet,P17,Forwards
Sustainable Development Goal 11,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 11 SDG 11 or Global Goal 11 is about sustainable cities and communities and is one of 17 Sustainable Development Goals established by the United Nations General Assembly in 2015,P527,Backwards
Sweden,Stockholm,Stockholm,The capital city is Stockholm,P17,Backwards
Poland,Czech Republic,Czech Republic,The country is bordered by Lithuania and Kaliningrad Oblast of Russia to the northeast Belarus and Ukraine to the east Slovakia and the Czech Republic to the south and Germany to the west,P47,Forwards
Mount Everest Foundation,Nepal,Nepal,MEFNepal is registered in the District Administration Office of Kathmandu under the Social Organization Act of His Majestys Government of Nepal,P17,Forwards
Northern tall grasslands,United States,American,This ecoregion largely follows the Red River Valley in the Canadian province of Manitoba and the American states of North Dakota and Minnesota,P17,Forwards
Taiwan,Philippines,Philippines,Neighbouring countries include the Peoples Republic of China PRC to the northwest Japan to the northeast and the Philippines to the south,P530,Backwards
American Society for Photogrammetry and Remote Sensing,United States,United States, It is the United States member organization of the International Society for Photogrammetry and Remote Sensing,P17,Forwards
Latvia,European Union,European Union,is de jure continuous with its declaration of 18 November 1918The eu domain is also used as it is shared with other European Union member states,P150,Backwards
Metro Manila,Makati,Makati,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P150,Forwards
Agriculture,Agricultural science,Agricultural science,Agricultural science,P361,Backwards
Hung Shui Kiu,Hong Kong,Hong Kong,Hung Shui Kiu is an area between Ping Shan and Lam Tei in the western part of the New Territories of Hong Kong,P131,Forwards
Australia,G20,G20,It is a member of the United Nations the G20 the Commonwealth of Nations the ANZUS the OECD the WTO the APEC the Pacific Islands Forum and the ASEAN  6 mechanism,P463,Forwards
Bangladesh,India,India,Bangladesh shares land borders with India to the west north and east Myanmar to the southeast and the Bay of Bengal to the south,P47,Backwards
Ethiopia,Kenya,Kenya, It shares borders with Eritrea to the north Djibouti and Somaliland to the northeast Somalia to the east Kenya to the south South Sudan to the west and Sudan to the northwest,P47,Forwards
Colombia,Brazil,Brazil,It is bounded on the north by the Caribbean Sea the northwest by Panama the south by Ecuador and Peru the east by Venezuela the southeast by Brazil and the west by the Pacific Ocean,P530,Forwards
Togo,Ghana,Ghana,Togo ˈtoʊɡoʊ32listen officially the Togolese Republic French République togolaise is a country in West Africa bordered by Ghana to the west Benin to the east and Burkina Faso to the north,P47,Backwards
Coles Bay Tasmania,Australia,Australian,Coles Bay is an Australian town on the east Coast of Tasmania 192160km northeast of Hobart and 209160km southeast of Launceston being the main entrance point for visitors to the Freycinet National Park,P17,Forwards
Bagaya,Senegal,Senegal,Bagaya is a settlement in Senegal,P17,Forwards
Wallonia,Belgium,Belgium,Wallonia wɒˈloʊniə French Wallonie walɔni German Wallonien vaˈloːni̯ən32listen or Wallonie valoˈniː Dutch Wallonië ʋɑˈloːnijə32listen Walloon Region French Région wallonne German Wallonische Region Dutch Waals gewest in the Belgian Constitution is one of the three Regions of Belgium—alongside Flanders and Brussels,P527,Backwards
European Union,Republic of Ireland,Ireland,   160Ireland,P150,Forwards
Netherlands,Singapore,Singapore,The Port of Rotterdam is the busiest seaport in Europe and the busiest in any country outside East Asia and Southeast Asia behind only China and Singapore,P530,Backwards
Germany,OECD,OECD,Germany is a member of the United Nations NATO the G7 the G20 and the OECD,P463,Forwards
South Africa,Botswana,Botswana,It is bounded to the south by 2798 kilometres 1739160mi of coastline of Southern Africa stretching along the South Atlantic and Indian Oceans to the north by the neighbouring countries of Namibia Botswana and Zimbabwe and to the east and northeast by Mozambique and Eswatini former Swaziland and it surrounds the enclaved country of Lesotho,P47,Backwards
Araucaria moist forests,Brazil,Brazil,The forest ecosystem is located in southern Brazil and northeastern Argentina,P17,Forwards
European Union,Croatia,Croatia,LegislatureSee legislative procedureFormation•160Treaty of Rome 1 January 1958•160Single European Act 1 July 1987•160Treaty of Maastricht 1 November 1993•160Treaty of Lisbon 1 December 2009•160Last polity admitted 1 July 2013 Croatia•160Last polity withdrawn 31 January 2020 United Kingdom,P463,Backwards
Germany,Belgium,Belgium,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P530,Forwards
India,Nepal,Nepal, Bounded by the Indian Ocean on the south the Arabian Sea on the southwest and the Bay of Bengal on the southeast it shares land borders with Pakistan to the west91f93 China Nepal and Bhutan to the north and Bangladesh and Myanmar to the east,P47,Backwards
Colombia,Brazil,Brazil,It is bounded on the north by the Caribbean Sea the northwest by Panama the south by Ecuador and Peru the east by Venezuela the southeast by Brazil and the west by the Pacific Ocean,P530,Backwards
Kerala,India,India,Kerala has the lowest positive population growth rate in India 344 the highest Human Development Index HDI 0784 in 2018 0712 in 2015 the highest literacy rate 962 in the 2018 literacy survey conducted by the National Statistical Office India the highest life expectancy 77 years and the highest sex ratio 1084 women per 1000 men,P150,Backwards
Tianjin,JingJinJi,JingJinJi,Part of the Bohai Economic Rim it is the largest coastal city in Northern China and part of the JingJinJi megapolis,P527,Backwards
European Union,Belgium,Belgium,   160Belgium,P361,Backwards
Intentional living,Lifestyle sociology,lifestyle,Intentional living is any lifestyle based on an individual or groups conscious attempts to live according to their values and beliefs,P279,Forwards
Magdalena Department,Colombia,Colombia,Magdalena Spanish pronunciation160maɣðaˈlena is a department of Colombia with more than 13 million people located to the north of the country by the Caribbean Sea,P150,Backwards
Arlington Municipal Airport Oregon,Oregon,Oregon,Arlington Municipal Airport FAA LID 1S8 is a public airport located one mile 2160km northeast of the central business district of Arlington in Gilliam County Oregon United States,P131,Forwards
European Association of Zoos and Aquaria,Netherlands,Netherlands,The organisation is based in Amsterdam Netherlands,P17,Forwards
Sudetes,Germany,Germany,The Sudetes suːˈdiːtiːz sooDEEteez Polish Sudety German Sudeten Czech Krkonošskojesenická subprovincie are a mountain range in Central Europe shared by Germany Poland and the Czech Republic,P17,Forwards
Military Police of Rio de Janeiro State,Brazil,Brazil,The Military Police of Rio de Janeiro State Portuguese Polícia Militar do Estado do Rio de Janeiro PMERJ like other military polices in Brazil is a reserve and ancillary force of the Brazilian Army and part of the System of Public Security and Brazilian Social Protection,P17,Forwards
Latvia,European Union,European Union,    Anthem160Dievs svētī LatvijuGod Bless LatviaLocation of160Latvia160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityRiga56°57′N 24°6′Exfeff  xfeff56950°N 24100°Exfeff  56950 24100Official160languagesLatvianaEthnic160groups  2019625 Latvians247 Russians32 Belarusians22 Ukrainians19 Poles11 Lithuanians02 Roma02 Jews36 Others16032UnspecifiedReligion 800 Christianity—343 Lutheranism—251 Catholicism—169 Orthodoxy—37 Other Christian183 No religion17 OthersDemonymsLatvianGovernmentUnitary parliamentary constitutional republic•160President Egils Levits•160Prime Minister Krišjānis Kariņš•160Speaker of the Saeima Ināra Mūrniece,P527,Backwards
Kenya,Uganda,Uganda,Kenya is bordered by South Sudan to the northwest Ethiopia to the north Somalia to the east Uganda to the west Tanzania to the south and the Indian Ocean to the southeast,P47,Forwards
Manoj G Tirodkar,India,India,Brought up in Mumbai India Tirodkar opted out of college to start his own business in the name Global not to be confused with the British Global Group,P27,Forwards
Federal Office of Economics and Export Control,Germany,German,The Federal Office for Economic Affairs and Export Control Bundesamt für Wirtschaft und Ausfuhrkontrolle short BAFA is a German  federal agency,P17,Forwards
Denmark,Sweden,Sweden,Denmark lies southwest of Sweden and south of Norway91N 1293 and is bordered to the south by Germany,P530,Backwards
Mauritania,Senegal,Senegal,Mauritania is bordered by the Atlantic Ocean to the west Western Sahara to the north and northwest Algeria to the northeast Mali to the east and southeast and Senegal to the southwest,P47,Backwards
Northern mixed grasslands,United States,American,This ecoregion includes parts of the Canadian provinces of Alberta Saskatchewan and Manitoba northcentral and eastern except extreme eastern North Dakota most of east South Dakota and northcentral Nebraska in the American Great Plains,P17,Forwards
Cerrado,Brazil,Brazil,The Cerrado Portuguese pronunciation160seˈʁadu sɛˈʁadu is a vast tropical savanna ecoregion of Brazil particularly in the states of Goiás Mato Grosso do Sul Mato Grosso Tocantins Minas Gerais and the Federal District,P17,Forwards
Montara oil spill,Western Australia,Western Australia,The Montara oil spill was an oil and gas leak and subsequent slick that took place in the Montara oil field in the Timor Sea off the northern coast of Western Australia,P131,Forwards
City of Greater Taree,Australia,Australia,The Greater Taree City Council GTCC was a local government area on the Mid North Coast of New South Wales Australia until 12 May 2016 when it was amalgamated to form part of the MidCoast Council,P17,Forwards
Arctic Ocean,Atlantic Ocean,Atlantic Ocean,It has been described approximately as an estuary of the Atlantic Ocean,P527,Backwards
Belgium,Wallonia,Walloon Region,It is divided into three highly autonomous regions the Flemish Region Flanders in the north the Walloon Region Wallonia in the south and the BrusselsCapital Region,P131,Backwards
American Society of Landscape Architects,United States,United States,The American Society of Landscape Architects ASLA is a professional association for landscape architects in the United States,P17,Forwards
Flanders,Belgium,Belgium,Flanders despite not being the biggest part of Belgium by area is the area with the largest population 682 if Brussels is included,P527,Backwards
Sustainable Development Goals,Sustainable Development Goal 14,Life Below Water,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Namibia,Botswana,Botswana,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P530,Backwards
Atlantic Ocean,World Ocean,World Ocean,As one component of the interconnected World Ocean it is connected in the north to the Arctic Ocean to the Pacific Ocean in the southwest the Indian Ocean in the southeast and the Southern Ocean in the south other definitions describe the Atlantic as extending southward to Antarctica,P361,Forwards
Centre Region Cameroon,Cameroon,Republic of Cameroon,The Centre Region French Région du Centre occupies 69000160km² of the central plains of the Republic of Cameroon,P17,Forwards
Coral Triangle,Indonesia,Indonesia,The Coral Triangle CT is a roughly triangular area in the tropical waters around Indonesia Malaysia Papua New Guinea the Philippines the Solomon Islands and TimorLeste,P17,Forwards
Udzungwa Mountains,Tanzania,Tanzania,The Udzungwa Mountains are a mountain range in southcentral Tanzania,P17,Forwards
Mhadei Wildlife Sanctuary,India,Indian,The Mhadei Wildlife Sanctuary is a 2085km2 805mi2 protected area in the Indian state of Goa in the Western Ghats of South India,P17,Forwards
European Union,United Nations,United Nations,It maintains permanent diplomatic missions throughout the world and represents itself at the United Nations the World Trade Organization the G7 and the G20,P530,Backwards
Gujarat,India,India,Gujarat ˌɡʊdʒəˈrɑːt Gujarati160ˈɡudʒəɾɑt32listen is a state on the western coast of India with a coastline of 1600160km 990160mi – most of which lies on the Kathiawar peninsula – and a population of 604160million,P131,Forwards
Austria,European Union,European Union,LegislatureParliament•160Upper houseFederal Council•160Lower houseNational CouncilEstablishment history•160Margraviate of Austria 976•160Duchy of Austria 1156•160Archduchy of Austria 1453•160Austrian Empire 1804•160AustroHungarian Empire 1867•160First Republic 1918•160Federal State 1934•160Anschluss 1938•160Second Republic since 1945•160State Treaty in effect 27 July 1955•160Admitted to the United Nations 14 December 1955•160Joined the European Union 1 January 1995,P463,Forwards
Agricultural science,Agriculture,agriculture,Agricultural science is a broad multidisciplinary field of biology that encompasses the parts of exact natural economic and social sciences that are used in the practice and understanding of agriculture,P279,Forwards
Sustainable Development Goal 14,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 14 Goal 14 or SDG 14 is about Life below water and is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P361,Forwards
Maharashtra,India,India,MH is a state in the western peninsular region of India occupying a substantial portion of the Deccan Plateau,P131,Forwards
Delhi,India,India,Delhi English ˈdɛli Hindi160ˈdɪlːiː Dillī Punjabi160ˈdɪlːiː Dillī Urdu160ˈdɛɦliː Dêhlī officially the National Capital Territory NCT of Delhi is a city and a union territory of India containing New Delhi the capital of India,P150,Backwards
Malabon,Navotas,,Malabon is part of the subregion of Metro Manila informally called CAMANAVA which consists of CAloocan MAlabon NAvotas and VAlenzuela cities,P47,Forwards
Kalahari Desert,Namibia,Namibia,The Kalahari Desert is a large semiarid sandy savannah in Southern Africa extending for 900000 square kilometres 350000160sq160mi covering much of Botswana and parts of Namibia and South Africa,P17,Forwards
Renewable energy,Wave power,waves,Renewable energy is useful energy that is collected from renewable resources which are naturally replenished on a human timescale including carbon neutral sources like sunlight wind rain tides waves and geothermal heat,P279,Backwards
Poland,United Nations,United Nations,Poland is a member state of the Schengen Area European Union European Economic Area the United Nations NATO the OECD the Three Seas Initiative and the Visegrád Group,P463,Forwards
Namibia,South Africa,South Africa,LegislatureParliament•160Upper houseNational Council•160Lower houseNational AssemblyIndependence from South Africa•160Constitution 9 February 1990•160Independence 21 March 1990,P47,Backwards
Mateur,Tunisia,Tunisia,Mateur Tunisian Arabic ماطر8206 Mater is a town in northern Tunisia,P17,Forwards
Climate change policy of the United States,United States,United States,Global climate change was first addressed in United States policy beginning in the early 1950s91span titleThis claim needs references to reliable sources,P17,Forwards
India,China,China, Bounded by the Indian Ocean on the south the Arabian Sea on the southwest and the Bay of Bengal on the southeast it shares land borders with Pakistan to the west91f93 China Nepal and Bhutan to the north and Bangladesh and Myanmar to the east,P530,Forwards
Buenos Aires Province,Buenos Aires,Buenos Aires,It takes its name from the city of Buenos Aires the capital of the country which used to be part of the province and the provinces capital until it was federalized in 1880,P47,Forwards
Democrats 66,Netherlands,Netherlands,Democrats 66 Dutch Democraten 6691a93 abbreviated D66 Dutch pronunciation32ˌdeː zɛsənˈzɛstəx is a social liberal political party in the Netherlands,P17,Forwards
Martin Harrison poet,Australia,Australia,Born and educated in England Harrison arrived in Australia in the late 1970s after spending three years in New Zealand,P27,Forwards
United States Department of Agriculture,United States Forest Service,United States Forest Service,The United States Forest Service is the largest agency within the department which administers national forests and national grasslands that together comprise about 25 of federal lands,P361,Backwards
Social science,Economics,economics,In addition to sociology it now encompasses a wide array of academic disciplines including anthropology archaeology economics human geography linguistics management science media studies political science psychology and history,P279,Backwards
Greece,North Macedonia,North Macedonia,It shares land borders with Albania to the northwest North Macedonia and Bulgaria to the north and Turkey to the northeast,P47,Forwards
Northern Ireland,United Kingdom,United Kingdom,Northern Ireland Irish Tuaisceart Éireann ˈt̪ˠu͜əʃkʲəɾˠt̪ˠ ˈeːɾʲən̪ˠ32listen UlsterScots Norlin Airlann is a part of the United Kingdom that is variously described as a country province territory or region,P150,Backwards
Belgium,European Union,European Union,Belgium is one of the six founding countries of the European Union and its capital Brussels hosts the official seats of the European Commission the Council of the European Union and the European Council as well as one of two seats of the European Parliament the other being Strasbourg,P527,Backwards
Green politics,Environmentalism,environmentalism,Green politics or ecopolitics is a political ideology that aims to foster an ecologically sustainable society rooted in environmentalism nonviolence social justice and grassroots democracy,P279,Forwards
Frederikshavn,Denmark,Denmark,Frederikshavn Danish pronunciation160fʁeðʁeksˈhɑwˀn is a Danish town in Frederikshavn municipality Region Nordjylland on the northeast coast of the Jutland peninsula in northern Denmark,P17,Forwards
Maharashtra,Gujarat,Gujarat,Maharashtra is bordered by the Arabian Sea to the west the Indian states of Karnataka and Goa to the south Telangana to the southeast and Chhattisgarh to the east Gujarat and Madhya Pradesh to the north and the Indian union territory of Dadra and Nagar Haveli and Daman and Diu to the northwest,P47,Forwards
Carmacks Yukon,Yukon,Yukon,Carmacks is a village in Yukon Canada on the Yukon River along the Klondike Highway and at the west end of the Robert Campbell Highway from Watson Lake,P131,Forwards
China,Hong Kong,Hong Kong,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P17,Backwards
Kurt Lotz,Germany,Germany,Kurt Lotz 18 September 1912 – 9 March 2005 was the second postwar Chief executive officer CEO of the Volkswagen automobile company in Germany,P27,Forwards
Germany,Poland,Poland,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Forwards
NHS Wales,United Kingdom,United Kingdom,NHS Wales Welsh GIG Cymru is the publicly funded healthcare system in Wales and one of the four systems which make up the National Health Service in the United Kingdom,P17,Forwards
Liberia,United States,United States,Liberia began as a settlement of the American Colonization Society ACS who believed black people would face better chances for freedom and prosperity in Africa than in the United States,P530,Backwards
Smart growth,Urban planning,planning,Smart growth is an urban planning and transportation theory that concentrates growth in compact walkable urban centers to avoid sprawl,P279,Forwards
Nigeria,Cameroon,Cameroon,It borders Niger in the north Chad in the northeast Cameroon in the east and Benin in the west,P530,Forwards
Ecology,Agroecology,agroecology,Ecology has practical applications in conservation biology wetland management natural resource management agroecology agriculture forestry agroforestry fisheries city planning urban ecology community health economics basic and applied science and human social interaction human ecology,P279,Backwards
Sustainable Development Goals,Sustainable Development Goal 13,Climate Action,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Botswana,United Nations,United Nations,Botswana is a member of the African Union the Southern African Development Community the Commonwealth of Nations and the United Nations,P463,Forwards
Geothermal power,Renewable energy,renewable,Geothermal power is considered to be a sustainable renewable source of energy because the heat extraction is small compared with the Earths heat content,P279,Forwards
South Korea,China,China,intervention in support of the South while the North received support from China and from the Soviet Union,P530,Backwards
Berlin,Germany,Germany,One of Germanys sixteen constituent states Berlin is surrounded by the State of Brandenburg and contiguous with Potsdam Brandenburgs capital,P131,Forwards
Ontario,Manitoba,Manitoba,Ontario is bordered by the province of Manitoba to the west Hudson Bay and James Bay to the north and Quebec to the east and northeast and to the south by the a hrefwikiUSstate titleUS,P47,Backwards
Governor of Valle del Cauca Department,Colombia,Colombia,The Governor of Valle del Cauca Spanish Gobernador del Valle del Cauca is the maximum administrative and political authority in the Valle del Cauca Department of Colombia,P17,Forwards
Toronto,Ontario,Ontario,Toronto təˈrɒntoʊ32listen locally təˈrɒnoʊ32listen is the capital city of the Canadian province of Ontario,P131,Forwards
ICVolunteers,Geneva,Geneva,With its headquarters in Geneva Switzerland ICVolunteers has offices and permanent representation in a number of other countries including France South Africa Mali Spain Brazil and Canada,P131,Forwards
Southern United States,United States,United States,The Southern United States also referred to as the American South or simply the South is a geographic and cultural region of the United States,P17,Forwards
Eddystone Rocks,United Kingdom,United Kingdom,The Eddystone or Eddystone Rocks are a seaswept and eroded group of rocks 9 miles 14160km southwest of Rame Head in Cornwall England United Kingdom,P17,Forwards
Australia,G20,G20,It is a member of the United Nations the G20 the Commonwealth of Nations the ANZUS the OECD the WTO the APEC the Pacific Islands Forum and the ASEAN  6 mechanism,P527,Backwards
Susi Pudjiastuti,Indonesia,Indonesia,Susi Pudjiastuti born 15 January 1965 is an Indonesian entrepreneur who served as the Minister of Maritime Affairs and Fisheries of Indonesia under President Joko Widodos 20142019 Working Cabinet,P27,Forwards
Mzi Khumalo,South Africa,South African,Mzi Godfrey Khumalo born 4 November 1955 is a South African businessman and mining entrepreneur,P27,Forwards
Philippines,Japan,Japan,The Philippines is bounded by the South China Sea to the west the Philippine Sea to the east and the Celebes Sea to the southwest and shares maritime borders with Taiwan to the north Japan to the northeast Palau to the east and southeast Indonesia to the south Malaysia and Brunei to the southwest Vietnam to the west and China to the northwest,P530,Backwards
Maputaland coastal forest mosaic,South Africa,South Africa,It covers an area of 29961 square kilometres 11568160sq160mi in southern Mozambique Swaziland and the KwaZuluNatal Province of South Africa,P17,Forwards
Pasig,Philippines,Philippines,Pasig officially the City of Pasig Tagalog Lungsod ng Pasig is a 1st class highly urbanized city in the National Capital Region of the Philippines,P17,Forwards
Sustainable Development Goal 10,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 10 Goal 10 or SDG 10 is about reduced inequality and is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
China,Shanghai,Shanghai,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P150,Forwards
Togo,African Union,African Union,Togo is a member of the United Nations African Union Organisation of Islamic Cooperation South Atlantic Peace and Cooperation Zone Francophonie and Economic Community of West African States,P463,Forwards
Huangbaiyu,China,China,Huangbaiyu simplified Chinese58 黄柏峪村 traditional Chinese58 黃柏峪村 pinyin58 Huángbǎiyù Cūn is a model sustainable village in Benxi Liaoning  China,P17,Forwards
Sacred Himalayan Landscape,India,India,It extends from Nepals Langtang National Park through Sikkim and Darjeeling in India to western Bhutans Torsa Strict Nature Reserve,P17,Forwards
Tunisia,European Union,European Union,Tunisia also has an association agreement with the European Union and has also attained the status of major nonNATO ally of the United States,P530,Forwards
Environmental crime,Illegal unreported and unregulated fishing,Illegal unreported and unregulated fishing,Illegal fishing Illegal unreported and unregulated fishing in contravention to controls imposed by various regional fisheries management organisations,P279,Backwards
Bangladesh,Nepal,Nepal,It is narrowly separated from Nepal and Bhutan by the Siliguri Corridor and from China by Sikkim in the north respectively,P530,Forwards
National Biodiesel Board,United States,United States,The National Biodiesel Board NBB is an American commercial trade association representing the biodiesel industry as the unifying and coordinating body for research and development in the United States,P17,Forwards
